Zen2 measurement skipped.
   |-- Port01 FP (2 read op) --|--LATENCY--IIDOMAIN--FFDOMAIN--IFDOMAIN--FIDOMAIN-----GPR-------PORT0----PORT1-----PORT01----PORT03-----PORT2----PORT12----PORT23--PORT0123----PORT45------LDs-
141|VPXOR x<-x1 x2             |   106560,   300107,   500092,   500092,   508861,  1300143,  1156361,  1192547,  1250193,  1399007,  1724607,  1250156,  1250156,  1600102,   800199,  1100158,
142|VPXOR y<-y1 y2             |   100122,   300144,   500055,   500055,   500055,  1300180,  1155547,  1192547,  1300143,  1375586,  1718983,  1250156,  1300180,  1600176,   800125,  1050134,
143|VPBLENDD x<-x1 x1 i        |   100159,   300070,   500055,   500055,   500129,  1300143,  1050171,  1051762,  1200243,  1251340,  1404039,  1200132,  1200243,  1604505,   800236,  1100232,
144|VPBLENDD y<-y1 y1 i        |   100122,   300144,   500092,   500055,   500092,  1250193,  1052058,  1050652,  1200169,  1231434,  1491877,  1200132,  1200169,  1600139,   800162,  1073222,
145|VPBLENDW x<-x1 x1 i        |   100159,   300070,   500092,   500055,   500055,  1250156,  1009397,  1057127,  1222961,  1300069,  1491840,  1200206,  1228400,  1605763,   800125,  1057645,
146|VPBLENDW y<-y1 y1 i        |   100159,   300070,   500092,   500055,   500092,  1300143,  1061604,  1053205,  1200243,  1242275,  1496354,  1200132,  1200132,  1605578,   800236,  1100195,
147|VBLENDPS x<-x1 x1 i        |   100159,   300070,   500018,   500055,   504606,  1250119,  1028970,  1053908,  1222887,  1248935,  1498907,  1200132,  1228474,  1600102,   800236,  1050208,
148|VBLENDPS y<-y1 y1 i        |   100122,   300181,   500092,   500092,   500092,  1306396,  1041069,  1061974,  1200206,  1246382,  1491877,  1200206,  1200206,  1600176,   800125,  1106448,
149|VPADDB x<-x1 x1            |   100196,   300107,   500055,   500092,   500055,  1250193,  1039071,  1060716,  1225144,  1299921,  1466421,  1220186,  1200169,  1606207,   800236,  1039922,
150|VPADDB y<-y1 y1            |   100122,   305102,   500055,   500055,   500055,  1250193,  1057423,  1053168,  1200206,  1243570,  1491840,  1211306,  1200206,  1600213,   800199,  1033484,
151|VPADDW x<-x1 x1            |   100159,   300070,   500129,   500092,   500055,  1300217,  1053353,  1053871,  1221814,  1251377,  1491803,  1200169,  1228437,  1600102,   807525,  1100121,
152|VPADDW y<-y1 y1            |   100196,   300070,   500092,   500129,   500055,  1300143,  1035075,  1053205,  1200243,  1245235,  1491877,  1200169,  1200132,  1600102,   800162,  1050171,
153|VPADDD x<-x1 x1            |   100122,   300033,   500129,   500092,   500055,  1250193,  1029895,  1056054,  1225107,  1243570,  1485809,  1214081,  1240351,  1600102,   800199,  1033521,
154|VPADDD y<-y1 y1            |   100196,   300070,   500055,   500055,   500129,  1250156,  1051503,  1062640,  1200243,  1243533,  1491914,  1200132,  1239648,  1600176,   800125,  1033558,
155|VPADDQ x<-x1 x1            |   100159,   300144,   505346,   500092,   500092,  1300180,  1053316,  1062455,  1235282,  1251414,  1491840,  1200169,  1234542,  1605800,   800236,  1106559,
156|VPADDQ y<-y1 y1            |   100233,   300107,   500055,   500055,   500092,  1307876,  1050171,  1053871,  1200243,  1245161,  1491988,  1200206,  1229547,  1600213,   800162,  1050171,
157|VPSUBB x<-x1 x2            |   100159,   300033,   500055,   500092,   500055,  1250119,  1159691,  1192547,  1273910,  1375253,  1719094,  1250119,  1255928,  1600176,   800162,  1033521,
158|VPSUBB y<-y1 y2            |   100159,   300144,   500092,   500055,   500092,  1250119,  1156324,  1192621,  1296480,  1375475,  1716837,  1250193,  1257593,  1605726,   800199,  1033521,
159|VPSUBW x<-x1 x2            |   100122,   300144,   500129,   500129,   500055,  1300180,  1163983,  1192621,  1250156,  1401708,  1724422,  1250193,  1250230,  1605763,   800125,  1100158,
160|VPSUBW y<-y1 y2            |   100159,   304806,   500092,   500055,   500129,  1300143,  1155584,  1192547,  1289154,  1375586,  1717466,  1250119,  1292114,  1600139,   800199,  1056905,
161|VPSUBD x<-x1 x2            |   100159,   300144,   500092,   500092,   500055,  1250119,  1157878,  1192621,  1250156,  1375993,  1710066,  1250193,  1281791,  1600139,   800199,  1033484,
162|VPSUBD y<-y1 y2            |   100122,   300107,   500055,   500055,   500055,  1250230,  1156324,  1192510,  1273244,  1375253,  1713100,  1306248,  1272985,  1605652,   800162,  1033558,
163|VPSUBQ x<-x1 x2            |   100122,   300144,   500092,   500055,   500092,  1300180,  1159691,  1192547,  1250156,  1389387,  1724163,  1250119,  1255743,  1605911,   800199,  1100232,
164|VPSUBQ y<-y1 y2            |   100196,   300181,   500092,   500129,   500055,  1300180,  1159691,  1192584,  1290190,  1375734,  1717244,  1250193,  1300143,  1600102,   800162,  1062048,
165|VPCMPEQB x<-x1 x2          |   100196,   300070,   500092,   500092,   500055,  1250230,  1155621,  1192547,  1250156,  1392310,  1710621,  1300180,  1296443,  1600213,   800199,  1033521,
166|VPCMPEQB y<-y1 y2          |   100122,   300144,   500055,   500055,   500092,  1250230,  1156361,  1192510,  1296443,  1376067,  1717059,  1250119,  1278424,  1600213,   800162,  1033521,
167|VPCMPEQW x<-x1 x2          |   100196,   300070,   500129,   500055,   500129,  1300180,  1156361,  1192510,  1250119,  1375734,  1725754,  1300180,  1250119,  1607613,   806341,  1100195,
168|VPCMPEQW y<-y1 y2          |   100159,   300181,   500092,   500092,   500129,  1300180,  1155547,  1192547,  1269211,  1375586,  1725199,  1250193,  1250193,  1600213,   800236,  1050208,
169|VPCMPEQD x<-x1 x2          |   100122,   300107,   500129,   500092,   500129,  1250119,  1155584,  1192547,  1299329,  1375253,  1712323,  1250119,  1296480,  1606281,   800199,  1033484,
170|VPCMPEQD y<-y1 y2          |   100159,   300107,   500129,   500055,   500092,  1250156,  1156361,  1192547,  1296443,  1375253,  1731748,  1250193,  1266880,  1600102,   800162,  1033484,
171|VPCMPGTB x<-x1 x2          |   100122,   300070,   500055,   500055,   500092,  1300143,  1156361,  1192547,  1250156,  1375808,  1718502,  1250119,  1250156,  1600176,   800162,  1100232,
172|VPCMPGTB y<-y1 y2          |   100159,   300033,   500055,   500129,   500092,  1300180,  1155547,  1192547,  1296443,  1375660,  1716911,  1255669,  1257260,  1600102,   800162,  1050171,
173|VPCMPGTW x<-x1 x2          |   100196,   300107,   500166,   500129,   500092,  1250156,  1155547,  1192547,  1250119,  1375290,  1709733,  1250119,  1300180,  1600102,   800162,  1033521,
174|VPCMPGTW y<-y1 y2          |   100122,   300144,   500166,   500092,   500055,  1250119,  1161467,  1192621,  1281828,  1375290,  1717022,  1250119,  1300143,  1613496,   800162,  1040292,
175|VPCMPGTD x<-x1 x2          |   100159,   300107,   500092,   500055,   500055,  1300180,  1156398,  1192584,  1250193,  1375993,  1723201,  1250230,  1250193,  1606318,   800199,  1100195,
176|VPCMPGTD y<-y1 y2          |   100122,   300107,   500092,   500055,   500055,  1300143,  1155547,  1197653,  1290153,  1375697,  1725273,  1250119,  1250267,  1600213,   806489,  1050208,
177|VPCMPGTQ x<-x1 x2          |   100196,   300144,   500055,   500055,   500129,  1256224,  1157878,  1192547,  1316867,  1403373,  1710140,  1250156,  1266806,  1605911,   800162,  1033484,
178|VPCMPGTQ y<-y1 y2          |   100159,   300070,   500055,   500055,   500092,  1250156,  1156361,  1192547,  1266843,  1375327,  1717355,  1301956,  1266806,  1605578,   800162,  1033484,
179|VPMINSB x<-x1 x1           |   100122,   300144,   500055,   500092,   500092,  1300143,  1051503,  1053168,  1228511,  1251414,  1491840,  1200169,  1228696,  1605948,   800162,  1100121,
180|VPMINSB y<-y1 y1           |   100196,   300144,   500092,   500055,   500092,  1300180,  1050134,  1053871,  1200280,  1251192,  1491766,  1200132,  1200169,  1600213,   800125,  1050208,
181|VPMINUB x<-x1 x1           |   100122,   300107,   500092,   500092,   500055,  1250156,  1055832,  1053908,  1234024,  1243570,  1466643,  1220223,  1200169,  1600139,   800162,  1033484,
182|VPMINUB y<-y1 y1           |   100122,   300070,   500092,   500055,   500055,  1250193,  1051503,  1053871,  1200243,  1280977,  1491766,  1200132,  1200206,  1605911,   800199,  1039959,
183|VPMINSW x<-x1 x1           |   100196,   300107,   500092,   500055,   500092,  1300180,  1051466,  1053168,  1233987,  1251377,  1491914,  1200132,  1228474,  1606318,   806711,  1100232,
184|VPMINSW y<-y1 y1           |   100122,   300070,   500055,   500055,   500092,  1300180,  1050171,  1053205,  1212416,  1245198,  1492062,  1200169,  1200169,  1605726,   800199,  1050208,
185|VPMINUW x<-x1 x1           |   100122,   300144,   500055,   500055,   500055,  1250230,  1050171,  1053168,  1225218,  1243533,  1362932,  1220223,  1200206,  1605911,   800199,  1033484,
186|VPMINUW y<-y1 y1           |   100196,   300107,   500129,   500092,   504939,  1250156,  1058570,  1053168,  1200243,  1243607,  1497168,  1200206,  1200280,  1600213,   800125,  1033521,
187|VPMINSD x<-x1 x1           |   100122,   300144,   500092,   500055,   500092,  1300180,  1051466,  1053871,  1236281,  1251377,  1491766,  1200169,  1221851,  1600139,   800162,  1100121,
188|VPMINSD y<-y1 y1           |   100122,   300144,   500055,   500055,   500129,  1300180,  1052058,  1050504,  1200243,  1256631,  1491729,  1200169,  1200169,  1606910,   800199,  1050171,
189|VPMINUD x<-x1 x1           |   100159,   300144,   500092,   500092,   500129,  1250156,  1052021,  1053908,  1225181,  1243496,  1326043,  1220186,  1228992,  1605578,   800162,  1033521,
190|VPMINUD y<-y1 y1           |   100159,   300144,   500018,   500092,   500055,  1250119,  1051503,  1083619,  1200169,  1250193,  1491914,  1211306,  1200243,  1600250,   800125,  1033484,
191|VPMAXSB x<-x1 x1           |   100196,   300107,   500055,   500055,   500055,  1300143,  1051466,  1053168,  1221777,  1256890,  1491877,  1200169,  1233173,  1605726,   800125,  1106559,
192|VPMAXSB y<-y1 y1           |   100122,   300181,   500129,   500092,   500166,  1300143,  1056091,  1050615,  1200243,  1245124,  1491803,  1200206,  1200169,  1600176,   800199,  1050245,
193|VPMAXUB x<-x1 x1           |   100122,   300144,   500092,   500129,   500055,  1250193,  1052021,  1053168,  1225218,  1301808,  1466273,  1220186,  1200169,  1600176,   800199,  1033484,
194|VPMAXUB y<-y1 y1           |   100122,   300070,   500129,   500055,   505161,  1250119,  1061826,  1053908,  1200206,  1243533,  1491951,  1200169,  1255521,  1600213,   800199,  1033521,
195|VPMAXSW x<-x1 x1           |   100196,   300144,   500055,   500055,   500092,  1300180,  1051503,  1050763,  1228400,  1251340,  1491840,  1200132,  1228474,  1606873,   800162,  1100121,
196|VPMAXSW y<-y1 y1           |   100159,   300107,   500055,   500129,   500055,  1300180,  1052021,  1053205,  1200206,  1245198,  1491988,  1206089,  1200206,  1610610,   800162,  1050171,
197|VPMAXUW x<-x1 x1           |   100196,   300107,   500055,   500055,   500055,  1256150,  1034631,  1051910,  1225107,  1305027,  1479556,  1220223,  1239611,  1600176,   800162,  1033484,
198|VPMAXUW y<-y1 y1           |   100122,   300107,   500129,   500092,   500129,  1250193,  1058126,  1053168,  1239685,  1243644,  1501682,  1218817,  1200206,  1605800,   800162,  1033484,
199|VPMAXSD x<-x1 x1           |   100196,   300070,   500055,   500092,   500055,  1300143,  1051466,  1053205,  1228437,  1266288,  1491951,  1200169,  1228474,  1600139,   800236,  1100158,
200|VPMAXSD y<-y1 y1           |   100159,   300144,   500055,   500092,   500055,  1300180,  1050134,  1052206,  1200280,  1240758,  1491766,  1200169,  1200132,  1610610,   800199,  1050208,
201|VPMAXUD x<-x1 x1           |   100159,   300144,   500092,   500129,   500092,  1250156,  1052021,  1053205,  1225107,  1243644,  1490915,  1214007,  1239611,  1605652,   800162,  1033484,
202|VPMAXUD y<-y1 y1           |   100159,   300107,   500092,   500129,   500055,  1250119,  1051466,  1051910,  1200206,  1243607,  1497131,  1200206,  1200206,  1611202,   800162,  1033484,
   |-------- Port01 Int -------|--LATENCY--IIDOMAIN--FFDOMAIN--IFDOMAIN--FIDOMAIN-----GPR-------PORT0----PORT1-----PORT01----PORT03-----PORT2----PORT12----PORT23--PORT0123----PORT45------LDs-
204|VPADDSB x<-x1 x1           |   100122,   300181,   500166,   500129,   500092,  1000110,  1200095,  1200317,  1600102,  1306026,  1000184,  1250156,   800125,  1239130,   800088,   828615,
205|VPADDSB y<-y1 y1           |   100122,   300181,   500055,   500055,   500092,  1006881,  1200095,  1200243,  1600065,  1305989,  1000184,  1255225,   800125,  1200206,   800162,   834128,
206|VPADDSW x<-x1 x1           |   100196,   300144,   500129,   500055,   500092,  1000147,  1200095,  1200280,  1604542,  1306026,  1000110,  1255299,   800199,  1200206,   805416,   810041,
207|VPADDSW y<-y1 y1           |   100196,   300144,   500092,   500092,   500129,  1000147,  1200132,  1200280,  1600102,  1305989,  1000147,  1261367,   800162,  1200169,   800199,   800199,
208|VPSUBSB x<-x1 x2           |   100122,   300144,   500055,   500055,   500129,  1006215,  1200169,  1200317,  1604727,  1393938,  1000110,  1304620,   800125,  1235208,   800162,   801975,
209|VPSUBSB y<-y1 y2           |   100159,   300107,   500055,   500055,   500129,  1000110,  1200058,  1200280,  1600176,  1393753,  1006622,  1308838,   805971,  1235134,   800162,   806896,
210|VPSUBSW x<-x1 x2           |   100159,   300070,   500055,   500055,   504458,  1006104,  1200169,  1200317,  1600102,  1393864,  1006326,  1304657,   800162,  1200169,   800199,   820660,
211|VPSUBSW y<-y1 y2           |   100159,   305657,   500129,   500092,   500129,  1000147,  1200095,  1200280,  1600102,  1393864,  1000221,  1304620,   800162,  1232322,   800162,   800347,
212|VPCMPEQQ x<-x1 x2          |   100159,   300144,   500055,   500055,   500092,  1000110,  1200095,  1200243,  1600102,  1393864,  1000221,  1304620,   800125,  1200169,   800125,   800199,
213|VPCMPEQQ y<-y1 y2          |   100122,   300107,   500055,   500055,   500092,  1000147,  1200095,  1200280,  1600065,  1393827,  1000184,  1304657,   800125,  1200206,   806008,   811188,
214|VPABSB x<-x                |   100159,   300070,   500092,   500055,   500018,  1006363,  1200058,  1200243,  1604727,  1306026,  1000147,  1255151,   800125,  1200206,   809708,   800236,
215|VPABSB y<-y                |   100122,   300144,   500055,   500092,   500055,  1000221,  1200132,  1200243,  1604764,  1306026,  1000110,  1255225,   800162,  1230139,   800199,   800162,
216|VPABSW x<-x                |   100159,   300144,   500055,   500092,   500055,  1006141,  1200095,  1200243,  1600065,  1305989,  1000221,  1250156,   800125,  1200243,   806119,   815628,
217|VPABSW y<-y                |   100159,   300070,   500129,   500129,   500055,  1000147,  1200132,  1200280,  1600176,  1306026,  1000221,  1255151,   800162,  1228141,   800162,   825211,
218|VPABSD x<-x                |   100159,   300181,   500092,   500055,   500055,  1000184,  1200169,  1200317,  1600139,  1305989,  1000147,  1255262,   800199,  1205682,   800162,   821659,
219|VPABSD y<-y                |   100159,   300107,   500055,   500092,   500092,  1000184,  1200095,  1200280,  1600102,  1310947,  1000221,  1255151,   806082,  1236133,   800199,   821363,
220|VPAVGB x<-x1 x1            |   100159,   300144,   500055,   500092,   500055,  1000147,  1200169,  1200280,  1604727,  1306026,  1000184,  1250156,   800162,  1200169,   800125,   821844,
221|VPAVGB y<-y1 y1            |   100196,   300144,   504939,   500055,   500055,  1000110,  1200095,  1200280,  1600139,  1306063,  1012172,  1255225,   800125,  1228178,   800125,   832426,
222|VPAVGW x<-x1 x1            |   100159,   304399,   500092,   500055,   500055,  1000110,  1200095,  1200280,  1600065,  1305989,  1006881,  1255336,   800162,  1200169,   800125,   800199,
223|VPAVGW y<-y1 y1            |   100159,   300107,   500092,   500055,   500129,  1000147,  1200132,  1200243,  1604690,  1310614,  1007251,  1255151,   800162,  1208272,   800125,   800162,
224|VPSIGNB x<-x1 x1           |   100122,   300144,   500055,   500092,   500092,  1000110,  1200132,  1204350,  1600102,  1305989,  1000221,  1250082,   800125,  1239056,   800162,   849002,
225|VPSIGNB y<-y1 y1           |   100159,   300033,   500055,   500055,   509416,  1000147,  1200132,  1200280,  1600065,  1306026,  1000110,  1255151,   800199,  1200206,   800162,   846930,
226|VPSIGNW x<-x1 x1           |   100196,   300107,   500129,   500055,   500055,  1000184,  1200132,  1200243,  1600065,  1305989,  1000184,  1255151,   800199,  1200132,   800125,   818773,
227|VPSIGNW y<-y1 y1           |   100159,   300144,   500129,   500129,   500092,  1000184,  1200169,  1200280,  1600102,  1305989,  1000110,  1255225,   800125,  1236207,   800088,   801642,
228|VPSIGND x<-x1 x1           |   100159,   300033,   504125,   500129,   500055,  1000147,  1200132,  1200280,  1600065,  1310614,  1000110,  1240166,   800125,  1228141,   800162,   800125,
229|VPSIGND y<-y1 y1           |   100159,   300144,   500055,   500055,   500055,  1000147,  1200132,  1200243,  1605800,  1306026,  1011210,  1255188,   800199,  1228141,   800162,   800162,
230|VAESENC x<-x1 x1           |   400044,   600066,   800051,   800088,   800125,  1000110,  1200095,  1200280,  1604875,  1343692,  1000184,  1294852,   850149,  1230250,   800162,   800162,
231|VAESENC y<-y1 y1           |   400081,   600066,   800051,   800051,   800088,  1000110,  1200095,  1200243,  1610499,  1343655,  1000110,  1290116,   850149,  1290375,   803344,   801568,
232|VAESENCLAST x<-x1 x1       |   400081,   604173,   800051,   800051,   800088,  1000110,  1200058,  1200243,  1600102,  1343692,  1000147,  1280126,   850149,  1287674,   800199,   800421,
233|VAESENCLAST y<-y1 y1       |   400044,   600140,   800088,   800088,   800088,  1000110,  1200095,  1200280,  1604801,  1343618,  1000221,  1300106,   806526,  1293927,   800162,   800162,
234|VAESDEC x<-x1 x1           |   400081,   600066,   800051,   800088,   800051,  1000184,  1205238,  1200317,  1600139,  1343655,  1000147,  1296221,   850149,  1200169,   800125,   832574,
235|VAESDEC y<-y1 y1           |   400044,   600066,   800088,   800051,   800088,  1000147,  1200132,  1200317,  1600065,  1343692,  1006437,  1290116,   850112,  1284381,   803418,   809634,
236|VAESDECLAST x<-x1 x1       |   400081,   600066,   800125,   800051,   800051,  1000184,  1200169,  1200243,  1600102,  1343692,  1000110,  1300143,   850186,  1293890,   800162,   844895,
237|VAESDECLAST y<-y1 y1       |   400081,   600103,   800051,   804676,   800125,  1000110,  1200058,  1200243,  1600065,  1343618,  1000184,  1286453,   800125,  1293853,   800162,   802308,
238|VAESENC x<-x1 x2           |   400081,   600066,   800051,   800088,   800125,  1102526,  1372774,  1383541,  1600065,  1418987,  1102489,  1394641,  1100084,  1251303,  1096051,  1072371,
239|VAESENC y<-y1 y2           |   400044,   600066,   800088,   800051,   800088,  1102489,  1373070,  1371072,  1604838,  1414288,  1102489,  1399081,  1100158,  1276352,  1096310,  1066821,
240|VAESENCLAST x<-x1 x2       |   400081,   600140,   800088,   800088,   800051,  1102452,  1215376,  1383541,  1600065,  1419135,  1102526,  1394567,  1100158,  1282901,  1096088,  1066784,
241|VAESENCLAST y<-y1 y2       |   400044,   600066,   800088,   800125,   800125,  1109075,  1369666,  1383615,  1600139,  1414473,  1106855,  1399044,  1066821,  1288081,  1096088,  1066784,
242|VAESDEC x<-x1 x2           |   400044,   600066,   800125,   800088,   804343,  1108446,  1377991,  1378731,  1600102,  1414399,  1102489,  1394604,  1104524,  1233506,  1096125,  1066784,
243|VAESDEC y<-y1 y2           |   400044,   600103,   800088,   800088,   804750,  1102415,  1372959,  1382727,  1600065,  1419394,  1102526,  1394678,  1100195,  1257112,  1096310,  1066784,
244|VAESDECLAST x<-x1 x2       |   400155,   600066,   800088,   800051,   800125,  1102452,  1377288,  1383541,  1600102,  1414436,  1102526,  1398748,  1100121,  1277166,  1096125,  1066784,
245|VAESDECLAST y<-y1 y2       |   400081,   600140,   800051,   800051,   800051,  1102489,  1372996,  1368334,  1600102,  1414399,  1102489,  1399525,  1071742,  1277166,  1096051,  1066784,
246|VAESIMC x<-x               |   400118,   600103,   804306,   800051,   800125,  1000184,  1200095,  1200243,  1600102,  1343692,  1000147,  1290116,   855625,  1200169,   800162,   803048,
247|VAESKEYGENASSIST x-<x i    |   400155,   600066,   800125,   800088,   808561,  1000110,  1200132,  1200280,  1604986,  1343618,  1000221,  1280126,   850149,  1288044,   800125,   800828,
248|VPHMINPOSUW x<-x           |   300070,   505235,   700077,   700114,   700114,  1000221,  1200095,  1200280,  1600102,  1305989,  1000110,  1281902,   800162,  1264660,   800162,   834313,
249|VPERMILPD x<-x1 x1         |   300107,   500092,   700077,   700114,   700151,  1000147,  1200095,  1200243,  1600065,  1306026,  1000221,  1275094,   800125,  1250156,   800199,   812150,
250|VPERMILPD y<-y1 y1         |   300070,   500092,   700114,   700114,   700077,  1000184,  1200095,  1200280,  1600102,  1306026,  1012283,  1275131,   800199,  1250267,   800162,   828504,
251|VPERMILPS x<-x1 x1         |   300107,   500092,   700151,   700114,   700077,  1006178,  1200132,  1200280,  1600102,  1305989,  1000147,  1275131,   800125,  1218891,   800162,   807118,
252|VPERMILPS y<-y1 y1         |   300144,   500092,   700114,   700077,   700077,  1000147,  1200095,  1200317,  1600065,  1306026,  1000110,  1281939,   800162,  1264549,   809412,   829577,
   |-------- Port12 Int -------|--LATENCY--IIDOMAIN--FFDOMAIN--IFDOMAIN--FIDOMAIN-----GPR-------PORT0----PORT1-----PORT01----PORT03-----PORT2----PORT12----PORT23--PORT0123----PORT45------LDs-
254|VPSLLVD x<-x1 x2           |   100159,   300144,   500092,   500055,   500055,  1000147,   800199,   800347,  1255225,   814333,  1556590,  1604616,  1249786,  1200206,   800125,   806785,
255|VPSLLVD y<-y1 y2           |   100159,   305472,   500055,   500092,   504495,  1000110,   800125,   800273,  1278905,   800236,  1556738,  1600102,  1255151,  1208494,   800162,   812705,
256|VPSRLVD x<-x1 x2           |   100159,   300107,   500055,   500129,   500092,  1000110,   800125,   800310,  1255225,   800125,  1556553,  1613237,  1249342,  1200132,   800162,   822066,
257|VPSRLVD y<-y1 y2           |   108484,   300070,   500129,   500129,   500055,  1000110,   800162,   800273,  1258666,   800162,  1556664,  1600065,  1250378,  1215968,   800162,   823731,
258|VPSRAVD x<-x1 x2           |   100233,   300070,   500129,   500092,   500092,  1000184,   800162,  1200243,  1254855,   815258,  1556775,  1600102,  1255225,  1200169,   800162,   818736,
259|VPSRAVD y<-y1 y2           |   100196,   300144,   500055,   500055,   500129,  1000110,   800125,   800310,  1250119,   800199,  1556590,  1600102,  1255299,  1200132,   800125,   821474,
260|VPSLLVQ x<-x1 x2           |   100159,   300033,   500055,   500092,   500055,  1000184,   800125,   800310,  1255225,   800125,  1556664,  1600065,  1255262,  1200169,   800162,   811077,
261|VPSLLVQ y<-y1 y2           |   100159,   300033,   500092,   500055,   500092,  1000110,   800162,   800273,  1255151,   805712,  1556664,  1604875,  1255188,  1215968,   800125,   821363,
262|VPSRLVQ x<-x1 x2           |   100196,   300144,   500055,   500055,   500092,  1013911,   800162,   928145,  1255114,   800236,  1561326,  1600176,  1255225,  1200132,   800162,   826543,
263|VPSRLVQ y<-y1 y2           |   100196,   300107,   500055,   500055,   500092,  1000184,   800162,   800347,  1250119,   800236,  1556664,  1604801,  1255225,  1200169,   800162,   813334,
264|VPSLLW x<-x1 x2            |   100196,   300144,   500129,   500055,   500092,  1000110,   805490,   813630,  1255225,   800273,  1556664,  1604727,  1255151,  1233469,   800162,   809523,
265|VPSLLW y<-y1 x2            |   100159,   300070,   500055,   500092,   504717,  1006400,   812224,   800310,  1250230,   800199,  1561992,  1600065,  1255151,  1200132,   800125,   822769,
266|VPSRLW x<-x1 x2            |   100159,   300070,   500092,   500092,   500092,  1000147,   800125,   800310,  1255151,   800199,  1556701,  1600139,  1255188,  1200169,   800125,   807599,
267|VPSRLW y<-y1 x2            |   100159,   300144,   500092,   500092,   500055,  1000147,   800162,   800273,  1260553,   800199,  1556664,  1600139,  1255225,  1215968,   800125,   800162,
268|VPSRAW x<-x1 x2            |   100196,   300144,   500092,   500055,   500129,  1000147,   800199,  1035186,  1255188,   800236,  1556664,  1600065,  1255225,  1225440,   800125,   807525,
269|VPSRAW y<-y1 x2            |   100196,   300144,   500055,   500055,   500092,  1000147,   800125,   800347,  1250082,   800273,  1556701,  1600065,  1255262,  1200206,   800125,   809338,
270|VPSLLD x<-x1 x2            |   100122,   300107,   500129,   500092,   500129,  1000147,   800199,   859806,  1255151,   800273,  1556627,  1600102,  1255188,  1208531,   800125,   800273,
271|VPSLLD y<-y1 x2            |   100159,   300144,   500092,   500055,   500092,  1000110,   800125,   844895,  1268397,   812039,  1556590,  1600139,  1255225,  1200132,   800125,   819402,
272|VPSRLD x<-x1 x2            |   100196,   300070,   500055,   500055,   500055,  1000184,   800125,   800310,  1255262,   800236,  1556590,  1600065,  1255151,  1200169,   800162,   810633,
273|VPSRLD y<-y1 x2            |   100159,   300107,   500129,   500092,   500055,  1000147,   800162,   800347,  1255225,   800162,  1562362,  1605282,  1246419,  1216005,   800125,   846486,
274|VPSRAD x<-x1 x2            |   100122,   300107,   500092,   500018,   500092,  1000184,   800162,  1067413,  1255262,   800273,  1561696,  1600102,  1255188,  1200132,   800162,   833203,
275|VPSRAD y<-y1 x2            |   100159,   300070,   500055,   500092,   500129,  1000221,   800162,   800347,  1250156,   800273,  1556553,  1600139,  1255188,  1200169,   800125,   807192,
276|VPSLLQ x<-x1 x2            |   100159,   300070,   500055,   505457,   500055,  1000110,   800199,   800347,  1255225,   805934,  1556664,  1600176,  1248158,  1200132,   800162,   836052,
277|VPSLLQ y<-y1 x2            |   100159,   300070,   500055,   500129,   500055,  1000110,   800125,   800310,  1255188,   800162,  1562362,  1604505,  1255188,  1216005,   800162,   826136,
278|VPSRLQ x<-x1 x2            |   100122,   300144,   500055,   500055,   500092,  1000110,   800162,  1199688,  1255151,   818958,  1556812,  1605541,  1254189,  1217300,   800162,   850704,
279|VPSRLQ y<-y1 x2            |   100159,   300144,   500055,   500129,   500092,  1000147,   800125,   847855,  1240166,   818958,  1562362,  1604505,  1255299,  1200169,   800125,   800162,
280|VPSLLW x<-x i              |   100196,   300107,   500092,   500092,   500055,  1000184,   800236,  1200243,  1278868,   800236,  1556627,  1604579,  1250193,  1211232,   800162,   851074,
281|VPSLLW y<-y i              |   100122,   300144,   500092,   500129,   500129,  1006400,   800199,  1200243,  1255262,   800199,  1556627,  1604727,  1255188,  1211232,   800162,   800162,
282|VPSRLW x<-x i              |   100159,   300144,   500092,   500055,   500166,  1000110,   800236,   844303,  1255188,   800162,  1556627,  1600028,  1255225,  1211269,   800199,   800162,
283|VPSRLW y<-y i              |   100159,   300144,   500092,   500055,   500092,  1000147,   800199,   810004,  1255262,   800199,  1556627,  1604764,  1255336,  1211269,   800162,   801568,
284|VPSRAW x<-x i              |   100159,   300070,   500129,   500129,   500092,  1000221,   800162,  1200280,  1255299,   800162,  1556664,  1600102,  1259924,  1211306,   800162,   800162,
285|VPSRAW y<-y i              |   100159,   300144,   500055,   500055,   500092,  1000110,   800199,  1233654,  1255299,   800199,  1556627,  1604838,  1255262,  1211232,   800162,   812705,
286|VPSLLD x<-x i              |   100196,   304399,   500055,   500092,   500055,  1000110,   800162,  1200280,  1255299,   800199,  1556553,  1600102,  1255262,  1211306,   800125,   800273,
287|VPSLLD y<-y i              |   100122,   300181,   500055,   500129,   500055,  1000110,   800199,   940799,  1255225,   800236,  1556701,  1604801,  1255225,  1211269,   800125,   800162,
288|VPSRLD x<-x i              |   100196,   300144,   500129,   500055,   500092,  1000110,   800162,  1233617,  1255262,   800236,  1556627,  1600065,  1255151,  1211306,   800162,   816257,
289|VPSRLD y<-y i              |   100196,   300144,   500055,   500055,   500055,  1000184,   800236,  1116438,  1261034,   800162,  1562436,  1600028,  1255151,  1211232,   800162,   800273,
290|VPSRAD x<-x i              |   100159,   300181,   500092,   500092,   500092,  1000147,   800199,  1200280,  1259887,   800273,  1561511,  1600065,  1250156,  1211232,   800125,   818958,
